camels_group,target,model,NSE_mean,NSE_sd,KGE_mean,KGE_sd,RMSE_mean,RMSE_sd,PBIAS_mean,PBIAS_sd
huc03,02143040,regional_lstm,0.27091336424185375,0.0023794192243445154,0.29164497820459956,0.006934883128958041,66.40529731790359,0.10836629497743479,-13.085687215988692,0.5851836484176962
huc03,02143040,daf_shared_v,0.2514239096475714,0.013092828633775613,0.2222799754045304,0.02958509933456738,67.28533851331787,0.5885615090316065,-18.503279524680483,2.8132845623644336
huc03,02143040,daf,0.27169779782493264,0.009796207844990511,0.28347321713233237,0.03223816637168328,66.3686264732279,0.4455434318177205,-11.454259519215947,3.587321406379379
huc03,02198100,local_lstm,0.3542951953594236,0.051057084698983374,0.33478244845413857,0.059177097741076407,35.43501413077136,1.417692037170387,-13.939607022970156,1.6347277671502187
huc03,02198100,source_only,-0.4516445349948453,0.3576827835883479,-0.9506840522691115,0.014157766393323296,52.904137232608186,6.368498813304813,184.68866065404418,6.156895167537322
huc03,02198100,finetune_lstm,0.5211955972166163,0.019654390803094363,0.6265510693328814,0.011248392414918124,30.525637240577414,0.6293490604008977,-5.506906133060358,1.1502958029064854
huc03,02198100,regional_lstm,0.43958718353740117,0.01360373887577563,0.5260659959819686,0.009328727446839024,33.02781131759516,0.4018680357456017,-6.253425973039422,1.8669043891683388
huc03,02198100,daf_shared_v,0.5672346479369242,0.031165832870032436,0.6910163037539873,0.027167881351821892,29.012261737149533,1.0564004075883076,0.6671812584225992,2.6007689187165166
huc03,02198100,daf,0.5831046139324098,0.016448153713246955,0.7126682037624236,0.01853356484285641,28.48418385507185,0.5650522555529706,2.302040543715124,1.9119004273109195
huc03,02469800,local_lstm,0.5980943901053194,0.048899278948763954,0.47353677746493733,0.07467827067329076,283.92357386175837,17.614285497724435,-21.53395381271062,6.325142109560443
huc03,02469800,source_only,0.220213826947396,0.08030005041028751,0.5717125179984931,0.05172489805787913,395.6367709338706,20.464978349807282,8.026125216926488,5.663299078106679
huc03,02469800,finetune_lstm,0.6561069291823954,0.01596663517451054,0.5564913066240605,0.03239518007754016,262.92419708593957,6.065699518919956,-16.606388849457733,3.019309314338508
huc03,02469800,regional_lstm,0.6568841092676152,0.012958386430729654,0.7145220181542319,0.03440123402935167,262.64200004873913,4.983687258862779,-8.949711679456373,3.4978510655554564
huc03,02469800,daf_shared_v,0.6977032035465568,0.01501989270304031,0.5964944349880165,0.06051179521266264,246.50421837883303,6.0884342756786936,-18.893743316808024,5.151657239667142
huc03,02469800,daf,0.686179787319026,0.020761041834692504,0.578217717911832,0.04503484738727825,251.11930422208448,8.251184256924315,-20.360793112317634,2.505467941394832
