seed,source,target,model,target_fraction,NSE,KGE,RMSE,PBIAS,R2,camels_group
42,01013500,01144000,source_only,0.3,0.4768585626808506,0.692996478630101,1303.886066585109,0.8831251551426132,0.4768585626808506,huc01
42,01013500,01144000,finetune_lstm,0.3,0.6064076023044602,0.6300656005533265,1130.9761184238105,-10.718363852663254,0.6064076023044602,huc01
42,01013500,01144000,regional_lstm,0.3,0.6412265651383829,0.7237024617406014,1079.7922922622097,-4.969201988234337,0.6412265651383829,huc01
42,01013500,01144000,daf_shared_v,0.3,0.6500194051612471,0.7459413568877362,1066.478405990322,-2.382019736256295,0.6500194051612471,huc01
42,01013500,01144000,daf,0.3,0.6494660584939782,0.6841133084229954,1067.3211658508403,-8.516240700849002,0.6494660584939782,huc01
43,01013500,01144000,local_lstm,0.3,0.5375494430861479,0.5583651263366212,1225.9217131827093,-10.388149524929691,0.5375494430861479,huc01
43,01013500,01144000,source_only,0.3,0.4486800268316234,0.6828991507378689,1338.5418280599213,-0.5456822281668245,0.4486800268316234,huc01
43,01013500,01144000,finetune_lstm,0.3,0.6044165530847266,0.6376890520207543,1133.8331203672635,-9.443306560702322,0.6044165530847266,huc01
43,01013500,01144000,regional_lstm,0.3,0.6297549316293589,0.7166942071709912,1096.919419242621,-4.5141750322256975,0.6297549316293589,huc01
43,01013500,01144000,daf_shared_v,0.3,0.6227825767299715,0.6460820718804379,1107.1996909364038,-11.115942057702595,0.6227825767299715,huc01
43,01013500,01144000,daf,0.3,0.6318403849477914,0.6762843627937669,1093.8257863932613,-6.947069128684208,0.6318403849477914,huc01
44,01013500,01144000,local_lstm,0.3,0.5151252033332165,0.5231176642534681,1255.2923699637377,-13.89627510638245,0.5151252033332165,huc01
44,01013500,01144000,source_only,0.3,0.455300441549096,0.6784463143935366,1330.4807502088224,-0.8264231729247457,0.455300441549096,huc01
44,01013500,01144000,finetune_lstm,0.3,0.5991348594748811,0.6289605369496626,1141.3772962437763,-9.79150451706484,0.5991348594748811,huc01
44,01013500,01144000,regional_lstm,0.3,0.6304339387739073,0.699234913249333,1095.9131155983846,-4.848888455444765,0.6304339387739073,huc01
44,01013500,01144000,daf_shared_v,0.3,0.6387343503050904,0.6959932262060271,1083.5361831001314,-8.38085114777163,0.6387343503050904,huc01
44,01013500,01144000,daf,0.3,0.640978978314785,0.7134440300269697,1080.1648062375923,-8.425282075955753,0.640978978314785,huc01
42,02472000,02198100,local_lstm,0.3,0.4127665994028964,0.4008184487774072,33.81057614968426,-14.171054663426451,0.4127665994028964,huc03
42,02472000,02198100,source_only,0.3,-0.2773045436868835,-0.9462135129849264,49.86483947356383,188.49904439390772,-0.2773045436868835,huc03
42,02472000,02198100,finetune_lstm,0.3,0.5430972931919799,0.6376599357486561,29.82353107780033,-4.286635765149405,0.5430972931919799,huc03
42,02472000,02198100,regional_lstm,0.3,0.4547014077851532,0.5154307560223489,32.58099813396445,-8.205422572168336,0.4547014077851532,huc03
42,02472000,02198100,daf_shared_v,0.3,0.6031099121460399,0.7009666979252235,27.79600128716004,-2.331891978859641,0.6031099121460399,huc03
42,02472000,02198100,daf,0.3,0.6019364897422181,0.7340616069073729,27.83706099013121,0.1808786428491145,0.6019364897422181,huc03
43,02472000,02198100,local_lstm,0.3,0.331589966509509,0.3169750989372286,36.071871647616746,-12.20149025866608,0.331589966509509,huc03
43,02472000,02198100,source_only,0.3,-0.8630692904420538,-0.9665374369837584,60.22290492311931,187.9813616187409,-0.8630692904420538,huc03
43,02472000,02198100,finetune_lstm,0.3,0.5050938402904249,0.6268251133821637,31.03906471024909,-6.571338142982213,0.5050938402904249,huc03
43,02472000,02198100,regional_lstm,0.3,0.4283244162161563,0.529902430953621,33.35969095838754,-6.069648574510703,0.4283244162161563,huc03
43,02472000,02198100,daf_shared_v,0.3,0.5468407581245109,0.6602760912593996,29.701105712498567,2.031926346821842,0.5468407581245109,huc03
43,02472000,02198100,daf,0.3,0.5715527685651927,0.7014869898654214,28.879912106501862,3.8925907259791375,0.5715527685651927,huc03
44,02472000,02198100,local_lstm,0.3,0.3185290201658656,0.2865537976477798,36.42259459501306,-15.446276146817931,0.3185290201658656,huc03
44,02472000,02198100,source_only,0.3,-0.2145597708555986,-0.9393012068386496,48.62466730114143,177.5855759494839,-0.2145597708555986,huc03
44,02472000,02198100,finetune_lstm,0.3,0.5153956581674441,0.6151681588678246,30.71431593368282,-5.662744491049457,0.5153956581674441,huc03
44,02472000,02198100,regional_lstm,0.3,0.435735726610894,0.5328648009699357,33.142744860433474,-4.485206772439229,0.435735726610894,huc03
44,02472000,02198100,daf_shared_v,0.3,0.5517532735402217,0.7118061220773388,29.539678211789997,2.301509407305597,0.5517532735402217,huc03
44,02472000,02198100,daf,0.3,0.5758245834898184,0.7024560145144765,28.73557846858248,2.832652262317119,0.5758245834898184,huc03
